Country,Latitude,Longitude,Confirmed,Deaths,Recovered,GDP,GDP Per Capita,Population,Median Age,Hospital Bed Per 1000 Population Rate,Life Expectancy (years),Unemployment Rate (%),2017 Health Budget per Capita ($),Poverty (% of Pop),Literacy Rate (% of Pop),Gender (% of male)
Afghanistan,33.9391,67.71,40.0,1.0,1.0,20682000000.0,531.2838,38928346,19.0,0.5,52.1,23.9,67.0,54.5,38.2,50.7389
Albania,41.1533,20.1683,89.0,2.0,2.0,17210000000.0,5980.2689,2877797,33.4,2.9,78.6,13.8,0.0,14.3,97.6,49.4949
Algeria,28.0339,1.6596,201.0,17.0,65.0,193056000000.0,4402.5406,43851044,28.3,1.9,77.2,11.7,258.0,23.0,80.2,50.7389
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.1,0.0,73.9,29.8,0.0,0.0,0.0,50.0
Andorra,42.5063,1.5218,113.0,1.0,1.0,2858406626.0,36994.8441,77265,44.9,2.5,82.9,3.7,4041.0,0.0,100.0,51.4563
Angola,-11.2027,17.8739,2.0,0.0,0.0,96426000000.0,2933.8892,32866272,15.9,0.0,60.6,6.6,114.0,36.6,71.1,48.7179
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,22496.8653,15003,35.1,0.0,81.6,8.0,0.0,23.0,0.0,47.3684
Antigua And Barbuda,0.0,0.0,1.0,0.0,0.0,1809000000.0,18472.5669,97929,32.2,3.8,76.9,11.0,674.0,0.0,99.0,47.3684
Argentina,-38.4161,-63.6167,225.0,4.0,3.0,515353000000.0,11402.6811,45195774,31.9,5.0,77.5,8.4,1325.0,25.7,99.1,49.4949
Armenia,40.0691,45.0382,194.0,0.0,2.0,13868000000.0,4680.0077,2963243,35.6,4.2,75.1,18.9,408.0,32.0,99.7,48.4536
Aruba,0.0,0.0,0.0,0.0,0.0,2952000000.0,27649.2516,106766,39.5,0.0,77.1,7.7,0.0,0.0,97.5,47.3684
Australia,-33.8688,151.2093,1314.0,7.0,88.0,1481460000000.0,58096.7349,25499884,38.8,3.8,82.4,5.6,5332.0,0.0,0.0,50.2488
Austria,47.5162,14.5501,3244.0,16.0,9.0,481678000000.0,53481.7582,9006398,44.2,7.6,81.7,5.5,4940.0,3.0,0.0,48.9796
Azerbaijan,40.1431,47.5769,65.0,1.0,10.0,47429000000.0,4677.7958,10139177,31.7,4.7,73.0,5.0,276.0,4.9,99.8,49.4949
Bahamas,25.0343,-77.3963,4.0,0.0,0.0,13710000000.0,34863.8504,393244,32.3,2.9,72.9,10.1,1772.0,9.3,0.0,48.9796
Bahrain,26.0667,50.5577,332.0,2.0,149.0,40707000000.0,23923.13,1701575,32.5,2.0,79.1,3.6,1127.0,0.0,95.7,60.6299
Bangladesh,23.685,90.3563,27.0,2.0,3.0,343279000000.0,2084.4027,164689383,27.1,0.8,73.7,4.4,36.0,24.3,72.9,49.2386
Barbados,13.1939,-59.5432,14.0,0.0,0.0,5339000000.0,18578.5124,287375,38.9,5.8,75.7,10.1,1184.0,0.0,99.6,48.4536
Belarus,53.7098,27.9534,76.0,0.0,15.0,63664000000.0,6737.4139,9449323,40.3,11.0,73.2,0.8,342.0,5.7,99.7,46.5241
Belgium,50.5039,4.4699,3401.0,75.0,263.0,553781000000.0,47782.4861,11589623,41.5,6.2,81.2,7.1,4507.0,15.1,0.0,49.2386
Belize,0.0,0.0,0.0,0.0,0.0,2071000000.0,5208.3857,397628,23.7,1.3,74.7,9.0,280.0,41.0,0.0,50.0
Benin,9.3077,2.3158,2.0,0.0,0.0,12129000000.0,1000.4784,12123200,18.4,0.5,62.7,1.0,31.0,36.2,38.4,50.2488
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,98386.9264,62278,43.5,0.0,81.5,7.0,0.0,11.0,0.0,48.4536
Bhutan,27.5142,90.4336,2.0,0.0,0.0,2939000000.0,3808.9289,771608,28.1,1.7,71.1,3.2,97.0,12.0,64.9,52.1531
Bolivia,-16.2902,-63.5887,24.0,0.0,0.0,47052000000.0,4030.8331,11673021,24.6,1.1,69.8,4.0,220.0,38.6,92.5,49.4949
Bosnia And Herzegovina,0.0,0.0,126.0,1.0,2.0,21343000000.0,6505.3878,3280819,42.5,3.5,77.1,20.5,460.0,16.9,98.5,48.7179
Botswana,0.0,0.0,0.0,0.0,0.0,20873000000.0,8875.9825,2351627,24.9,1.8,63.8,20.0,466.0,19.3,88.5,48.1865
Brazil,-14.235,-51.9253,1593.0,25.0,2.0,2062500000000.0,9703.1693,212559417,32.4,2.2,74.3,12.8,929.0,4.2,92.0,49.2386
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,32127.191000000003,30230,36.7,0.0,78.9,2.9,0.0,0.0,0.0,47.644
Brunei,4.5353,114.7277,88.0,0.0,2.0,14281000000.0,32643.8526,437479,30.5,2.7,77.5,6.9,671.0,0.0,96.0,49.2386
Bulgaria,42.7339,25.4858,187.0,3.0,3.0,71746000000.0,10325.4757,6948445,43.0,6.8,74.8,6.2,664.0,23.4,98.4,48.7179
Burkina Faso,12.2383,-1.5616,75.0,4.0,5.0,16266000000.0,778.1557,20903273,17.4,0.4,60.77,77.0,44.0,40.1,36.0,48.7179
Burundi,0.0,0.0,0.0,0.0,0.0,3714000000.0,312.3427,11890784,17.1,0.8,61.4,0.0,24.0,64.6,85.6,49.7487
Cambodia,12.5657,104.991,84.0,0.0,1.0,29309000000.0,1753.0391,16718965,25.7,0.8,65.2,0.3,82.0,16.5,80.5,48.7179
Cameroon,3.848,11.5021,40.0,0.0,0.0,42047000000.0,1583.9379999999999,26545862,18.6,1.3,59.4,4.3,68.0,30.0,75.0,50.2488
Canada,51.2538,-85.3232,1465.0,21.0,10.0,1832490000000.0,48552.8727,37742154,42.4,2.7,82.0,6.3,4755.0,9.4,0.0,49.4949
Cape Verde,16.5388,-23.0418,3.0,0.0,0.0,2208000000.0,3971.3159,555987,25.8,2.1,72.7,9.0,168.0,30.0,86.8,48.4536
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,58490.0129,65722,40.2,0.0,81.4,4.0,0.0,0.0,98.9,48.7179
Central African Republic,6.6111,20.9394,3.0,0.0,0.0,2485000000.0,514.5176,4829767,19.8,1.0,53.3,6.9,24.0,62.0,36.8,49.7487
Chad,15.4542,18.7322,1.0,0.0,0.0,12547000000.0,763.8563,16425863,15.8,0.0,57.5,0.0,30.0,46.7,22.3,49.4949
