Countries,2017
Niue,-
Saudi Arabia,-
Albania,-
United States of America,10246
Switzerland,9956
Norway,7936
Iceland,6086
Sweden,5905
Denmark,5800
Luxembourg,5783
Australia,5332
Germany,5033
Ireland,4977
Austria,4940
Netherlands,4911
Canada,4755
Belgium,4507
France,4380
Finland,4206
Japan,4169
Andorra,4041
New Zealand,3937
United Kingdom,3859
San Marino,3362
Israel,3145
Monaco,2932
Italy,2840
Singapore,2619
Malta,2586
Spain,2506
Republic of Korea,2283
Slovenia,1920
Portugal,1908
Bahamas,1772
Cyprus,1731
Qatar,1649
Palau,1596
Uruguay,1592
Kuwait,1529
Greece,1517
Czech Republic,1476
Chile,1382
United Arab Emirates,1357
Argentina,1325
Estonia,1301
Slovakia,1186
Barbados,1184
Bahrain,1127
Trinidad and Tobago,1124
Panama,1112
Nauru,1107
Lithuania,1078
Maldives,1007
Cuba,988
Hungary,981
Latvia,930
Brazil,929
Poland,907
Saint Kitts and Nevis,903
Croatia,902
Costa Rica,869
Seychelles,792
Lebanon,719
Antigua and Barbuda,674
Brunei Darussalam,671
Bulgaria,664
Marshall Islands,642
Tuvalu,622
Mauritius,600
Cook Islands,589
Oman,588
Russian Federation,586
Romania,555
Serbia,529
Ecuador,518
South Africa,499
Grenada,497
Mexico,495
Iran,475
Botswana,466
Bosnia and Herzegovina,460
Saint Lucia,460
Colombia,459
Turkmenistan,456
Namibia,447
Turkey,445
China,441
Dominica,440
Dominican Republic,433
Micronesia (Federated States of),425
Armenia,408
Malaysia,384
Paraguay,381
Belarus,342
Jordan,341
Suriname,339
Peru,333
The Republic of North Macedonia,328
Saint Vincent and the Grenadines,321
Jamaica,307
Equatorial Guinea,301
Georgia,293
El Salvador,282
Belize,280
Kazakhstan,280
Azerbaijan,276
Guatemala,260
Algeria,258
Tunisia,251
Thailand,247
Samoa,233
Guyana,231
Eswatini,225
Tonga,222
Bolivia Plurinational States of ,220
Iraq,210
Gabon,204
Honduras,196
Sudan,194
Nicaragua,192
Republic of Moldova,191
Fiji,188
Ukraine,177
Kiribati,171
Cabo Verde Republic of,168
Morocco,161
Sri Lanka,159
Mongolia,149
Philippines,133
Viet Nam,130
Sao Tome and Principe,120
Indonesia,115
Angola,114
Zimbabwe,110
Egypt,106
Vanuatu,106
Lesotho,105
Solomon Islands,101
Uzbekistan,99
Bhutan,97
Venezuela (Bolivarian Republic of),94
Timor-Leste,83
Cambodia,82
Kyrgyzstan,79
Kenya,77
Nigeria,74
Djibouti,70
Cìte d'Ivoire,70
India,69
Cameroon,68
Zambia,68
Afghanistan,67
Ghana,67
Sierra Leone,66
Haiti,62
Lao People's Democratic Republic,62
Papua New Guinea,61
Comoros,59
Myanmar,58
Tajikistan,58
Liberia,57
Senegal,55
Guinea-Bissau,52
Congo,50
Rwanda,49
Mauritania,49
Nepal,48
Pakistan,45
Burkina Faso,44
Uganda,39
Togo,38
Bangladesh,36
United Republic of Tanzania,34
Guinea,34
Eritrea,33
Malawi,32
Mali,31
Benin,31
Chad,30
Niger,29
Ethiopia,25
Madagascar,25
Central African Republic,24
Burundi,24
Gambia,23
South Sudan,23
Mozambique,21
Democratic Republic of the Congo,19
