Country,Confirmed,Deaths,Recovered,GDP,GDP Per Capita,Population,Median Age
Afghanistan,21.0,0.0,1.0,20682000000.0,531,38928346.0,19.0
Albania,51.0,1.0,0.0,17210000000.0,5980,2877797.0,33.4
Algeria,54.0,4.0,12.0,193056000000.0,4403,43851044.0,28.3
Antigua and Barbuda,1.0,0.0,0.0,1809000000.0,18473,97929.0,32.2
Argentina,56.0,2.0,1.0,515352999999.9999,11403,45195774.0,31.9
Armenia,52.0,0.0,0.0,13868000000.0,4680,2963243.0,35.6
Aruba,2.0,0.0,0.0,2952000000.0,27649,106766.0,39.5
Australia,377.0,3.0,23.0,1481460000000.0,58097,25499884.0,38.8
Austria,1018.0,3.0,6.0,481678000000.0,53482,9006398.0,44.2
Azerbaijan,15.0,1.0,6.0,47429000000.0,4678,10139177.0,31.7
Bahrain,214.0,1.0,77.0,40707000000.0,23923,1701575.0,32.5
Bangladesh,8.0,0.0,2.0,343279000000.0,2084,164689383.0,27.1
Belarus,36.0,0.0,3.0,63664000000.0,6737,9449323.0,40.3
Belgium,1058.0,5.0,1.0,553781000000.0,47782,11589623.0,41.5
Benin,1.0,0.0,0.0,12129000000.0,1000,12123200.0,18.4
Bhutan,1.0,0.0,0.0,2939000000.0,3809,771608.0,28.1
Bolivia,11.0,0.0,0.0,47052000000.0,4031,11673021.0,24.6
Bosnia and Herzegovina,25.0,0.0,0.0,21343000000.0,6505,3280819.0,42.5
Brazil,200.0,0.0,1.0,2062500000000.0,9703,212559417.0,32.4
Brunei,54.0,0.0,0.0,14281000000.0,32644,437479.0,30.5
Bulgaria,52.0,2.0,0.0,71746000000.0,10325,6948445.0,43.0
Burkina Faso,15.0,0.0,0.0,16266000000.0,778,20903273.0,17.4
Cambodia,7.0,0.0,1.0,29309000000.0,1753,16718965.0,25.7
Cameroon,4.0,0.0,0.0,42047000000.0,1584,26545863.0,18.6
Canada,415.0,4.0,9.0,1832490000000.0,48553,37742154.0,42.4
Central African Republic,1.0,0.0,0.0,2485000000.0,515,4829767.0,19.8
Chile,155.0,0.0,0.0,313561000000.0,16403,19116201.0,34.8
China,81033.0,3217.0,67910.0,15468100000000.0,10747,1439323776.0,37.7
Colombia,54.0,0.0,0.0,352810000000.0,6934,50882891.0,30.4
Costa Rica,35.0,0.0,0.0,63460000000.0,12458,5094118.0,31.7
Croatia,57.0,0.0,2.0,64590000000.0,15733,4105267.0,43.3
Cuba,4.0,0.0,0.0,0.0,7918,11326616.0,41.8
Cyprus,33.0,0.0,0.0,26348000000.0,21823,1207359.0,37.2
Denmark,932.0,3.0,1.0,364546000000.0,62937,5792202.0,41.9
Dominican Republic,11.0,0.0,0.0,90459000000.0,8339,10847910.0,27.3
Ecuador,37.0,2.0,0.0,107730000000.0,6106,17643054.0,28.1
